Time,S21_dB,Phase_Deg,S21_Gauss_SavGol,Phase_Gauss_SavGol,Background_dB,Background_Phase,Anomaly,OBJ,Height
2.91084,0.0557472,-1924.71,0.0197815,-1760.63,0.0155728,-525.411,0,NO,1.25
2.92497,0.00425304,-1767.07,0.0190814,-1780.52,0.0155931,-532.666,0,NO,1.25
2.93944,-0.0116259,-1691.34,0.0183999,-1801.5,0.0156092,-539.958,0,NO,1.25
2.95323,0.0235914,-1675.03,0.0178763,-1823.44,0.0156222,-547.292,0,NO,1.25
2.9671,0.0498799,-1687.32,0.0175959,-1846.1,0.0156334,-554.671,0,NO,1.25
2.98178,-0.00519159,-1812.15,0.0174892,-1870.06,0.0156439,-562.103,0,NO,1.25
2.99629,-0.00497751,-1834.51,0.0173688,-1897.3,0.0156536,-569.604,0,NO,1.25
3.01087,0.0172084,-1890.66,0.0171165,-1930.77,0.0156617,-577.208,0,NO,1.25
3.02555,0.0372992,-1971.31,0.0168341,-1973.11,0.0156682,-584.963,0,NO,1.25
3.03949,0.0133091,-2098.49,0.0167465,-2025.28,0.0156742,-592.921,0,NO,1.25
3.054,-0.00274158,-2250.46,0.0169395,-2085.77,0.0156811,-601.123,0,NO,1.25
3.06953,0.0296461,-2268.9,0.0172614,-2150.79,0.0156898,-609.592,0,NO,1.25
3.08365,0.0508504,-2207.05,0.017496,-2215.53,0.0156996,-618.319,0,NO,1.25
3.09769,-0.00569715,-2122.4,0.0175214,-2275.82,0.0157094,-627.279,0,NO,1.25
3.11226,0.000711326,-2159.63,0.0172618,-2329.54,0.0157178,-636.431,0,NO,1.25
3.12686,0.0429467,-2320.71,0.0165947,-2376.78,0.0157225,-645.738,0,NO,1.25
3.14068,0.0119225,-2463.72,0.0154255,-2419.12,0.0157209,-655.17,0,NO,1.25
3.15522,-0.00889886,-2634.38,0.0138314,-2458.66,0.0157109,-664.713,0,NO,1.25
3.16885,0.0275675,-2562.31,0.0120477,-2497.19,0.0156916,-674.357,0,NO,1.25
3.18382,0.0442557,-2700.06,0.0103047,-2535.75,0.0156634,-684.103,0,NO,1.25
3.19795,-0.0324315,-2606.05,0.00873945,-2574.47,0.0156274,-693.949,0,NO,1.25
3.21231,0.00697599,-2511.01,0.00744342,-2612.56,0.015585,-703.889,0,NO,1.25
